STATE,,,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC
ARUNACHAL PRADESH,,,19,101.9,80.3,86.7,299,415.8,392.4,599.6,343,35.1,20.1,10.2
ODISHA,,,0,101.9,81.2,51.1,342,414.9,370.3,474.1,421.7,34.7,3.1,0.4
SIKKIM,,,0.2,101.9,79.4,49.6,192,268.3,295.7,372.3,300.9,69.6,3.3,0.1
WEST BENGAL,,,0.7,101.9,23.3,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4
JHARKAND,,,9.9,101.9,24.3,1.7,120.3,182.3,300.6,295.9,222.4,56.3,0.1,0.5
EAST U.P.,,,47.5,101.9,45.7,11.7,111.9,92.2,496.2,386.3,281.2,11.8,2.2,0.9
WEST U.P.,,,48.4,101.9,12.5,1.9,98.2,139.4,321.3,290.9,178.2,44.9,0,1.2
UTTARAKHAND,,,45.9,101.9,68.4,0.7,103.9,115.2,265.3,307.6,160.3,47.8,0,1.2
HR.  CHD&DELHI,,,13,101.9,32.4,5.4,10.7,47.8,224.5,138.1,106.6,74.9,0,8.3
PUNJAB,,,21.8,101.9,65,37.8,11.1,21.8,153.1,80.4,84,14.3,0,15.9
HIMACHAL PRADESH,,,66.3,101.9,45.6,7.5,52.9,62.9,462.1,264.2,107.9,40.8,0,44.3
JAMMU & KASHMIR,,,105.4,101.9,76.5,24.5,20.3,25.9,72.4,34.9,67.2,10.5,0,9.6
WEST RAJASHTHAN,,,0.8,101.9,87.6,55.5,20.8,20.6,76.3,41.9,105.8,13.1,0,14.1
EAST RAJASHTHAN,,,28.3,101.9,45,106.7,64.7,54.4,214.4,167.8,86.5,12.9,0.2,51.9
GUJARAT,,,7.5,101.9,29.9,8.4,73.9,35.5,100.5,134.6,362.8,12,0.7,14.1
