,,, ,,,,,, ,,,,,,,,,,,,,,
  Sub-division,Actual       2002,Actual       2003,Actual       2004,Actual       2005,Actual       2006,Actual       2007,Actual       2008,Actual       2009,Actual       2010,Normal Rainfall,,Actual    2011,Normal Rainfall,,Actual    2012,Normal Rainfall,,Actual    2013,Normal Rainfall,,Actual    2014,Normal Rainfall,
,,,,,,,,,,2010,,,2011,,,2012,,,2013,,,2014,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,
  1.Andaman and Nicobar Islands,2310.7,2446.9,2508.1,2762.6,2447.9,2656.7,3335.2,2614.5,3147.2,2974.4,105.8,3833.5,2926.3,131,3516,2926.3,120.2,3757.7,2926.3,128.4,2622.5,2926.3,89.6
  2.Arunachal Pradesh,2559.6,2761.2,2891.7,2542.4,2108,2401.3,2470.4,2163.3,2397.7,2783.3,86.1,1923.4,2933.7,65.6,2761.1,2933.7,94.1,2042.9,2933.7,69.6,2403.1,2933.7,81.9
  3.Assam and Meghalaya,2530.4,2835.1,2890.9,2314.8,1777.4,2414.6,2271.2,1863,2498.7,2898.2,86.2,1758.3,2624.9,67,2321.3,2624.9,88.4,1811.6,2624.9,69,2171.9,2624.9,82.7
"  4.Nagaland,Mizoram,Manipur & Tripura",1960.8,2029,1999.3,1612.4,1561.6,2146,1481.7,1446.5,2027.2,2139.5,94.8,1655,2278,72.7,1669.2,2278,73.3,1557.1,2278,68.4,1599.9,2278,70.2
"  5.Sub-Himalayan,West Bengal & Sikkim",2820.1,3288.5,2768.3,2670.8,2304.5,2641.3,2618.8,2275.1,2849.3,2600.9,109.6,2360,2708.9,87.1,2630.3,2708.9,97.1,2406.1,2708.9,88.8,2322.5,2708.9,85.7
  6.Gangetic West Bengal,1597.5,1457.8,1488.1,1585.4,1587.3,1953.2,1580.6,1322.5,1084.4,1492.9,72.6,1671.7,1527.2,109.5,1258.2,1527.2,82.4,1804.7,1527.2,118.2,1241.8,1527.2,81.3
  7.Orissa,1166.6,1750.6,1337.6,1549.7,1810,1664.9,1600.4,1397.8,1332.3,1478.6,90.1,1300.2,1460.5,89,1430.2,1460.5,97.9,1632.2,1460.5,111.8,1537,1460.5,105.2
  8.Jharkhand,1315.5,1299,1153.5,859.4,1356,1441.5,1200.6,1061.1,803.7,1306.6,61.5,1274.8,1296.3,98.3,1102,1296.3,85,1253.5,1296.3,96.7,1156.6,1296.3,89.2
  9.Bihar ,1193.3,1454.8,1077,913.7,1000.5,1466.2,1306.7,993.7,941.9,1213.6,77.6,1217.3,1205.6,101,924.1,1205.6,76.7,1069.8,1205.6,88.7,1061,1205.6,88
 10.Uttar Pradesh East,796,1177.1,902.4,828.3,771.5,863.2,1121.9,711.1,758.5,1036.2,73.2,874.9,1018.6,85.9,853.6,1018.6,83.8,1041.9,1018.6,102.3,701.4,1018.6,68.9
 11. Uttar Pradesh West,729.1,1129.5,647.2,752.6,510.4,586.1,840.4,552.4,818.7,885.5,92.5,776,886.2,87.6,582.7,886.2,65.8,926,886.2,104.5,487,886.2,55
 12.Uttranchal ,1588.5,1903.7,1584.4,1469.3,1264.8,1894.4,1298.5,1076,1864.3,1564.5,119.2,1708.2,1580.9,108.1,1309.8,1580.9,82.9,1735.3,1580.9,109.8,1287.5,1580.9,81.4
" 13.Haryana,Chandigarh & Delhi",471.8,720.7,524,586.9,377.1,479.9,633,350.4,598.1,563.5,106.1,433,562.8,76.9,313.6,562.8,55.7,461.3,562.8,82,305.5,562.8,54.3
 14.Punjab,446.1,645.1,445.1,603.5,544.6,494.3,708.7,403.8,501.1,641.6,78.1,533.6,635.9,83.9,338.9,635.9,53.3,586.6,635.9,92.2,382.9,635.9,60.2
 15.Himachal Pradesh,1075.5,1268.9,766.4,996.4,895.8,862.5,1048.9,805.7,1227.9,1323.7,92.8,1051.8,1373.9,76.6,1035,1373.9,75.3,1217.1,1373.9,88.6,1019.9,1373.9,74.2
 16.Jammu & Kashmir,750.5,1106.1,916.1,1309.8,1477.3,1037.9,1087.2,872.6,1257.6,1234.3,101.9,1122.1,1205.3,93.1,1116.7,1205.3,92.6,1193.7,1205.3,99,1278.6,1205.3,106.1
 17.Rajasthan West,118.9,386.7,190.3,260.3,362.4,282.2,309.7,166.6,473.2,296.4,159.6,426.7,299.2,142.6,318.3,299.2,106.4,389.5,299.2,130.2,302.4,299.2,101.1
 18.Rajasthan East,307.2,629.7,627.5,617.4,711.6,553.5,627.1,460.6,741.3,684.7,108.3,849.1,671.3,126.5,695.8,671.3,103.6,834.8,671.3,124.4,683,671.3,101.7
 19.Madhya Pradesh West,754.7,1011,839.7,784.4,1140.6,887.8,747.7,797.2,817.9,987.6,82.8,1062.3,956.3,111.1,1012.4,956.3,105.9,1396.2,956.3,146,864.8,956.3,90.4
 20. Madhya Pradesh East,1075.7,1532.5,946.8,1408.4,1007.6,864.1,989.8,910.5,966.3,1220.4,79.2,1220.7,1169.4,104.4,1096.9,1169.4,93.8,1521.9,1169.4,130.1,925,1169.4,79.1
 21.Gujarat Region,705.4,1259.4,1004.2,1385.4,1458,1158.8,932.5,649.4,1059.8,954.3,111.1,903.9,943.4,95.8,652,943.4,69.1,1250.6,943.4,132.6,792.3,943.4,84
" 22.Saurashtra,Kutch & Diu",402.7,733.1,498.3,638.6,702.9,892.1,572.4,616.9,1073.9,519.2,206.8,725,507,143,315.3,507,62.2,823.9,507,162.5,467.8,507,92.3
 23.Konkan & Goa,2324.2,2828.5,2911.7,3557.5,3378.9,3401.1,3051.6,2738.3,3749.4,2975.7,126,3842.4,3100.2,123.9,2993.9,3100.5,96.6,3684.9,3100,118.9,2913.3,3100.2,94
 24.Madhya Maharashtra,711.7,740.3,883.4,1101.6,1180.8,921.5,858.8,918.1,1006.3,850.1,118.4,842.9,876.8,96.1,664.2,876.8,75.8,962.5,876.8,109.8,838,876.8,95.6
 25.Marathwada,704.8,645.2,676.5,864.3,819.3,625.6,651.1,687.5,1039.4,846.3,122.8,685.7,821.6,83.5,538.2,821.6,65.5,887.9,821.6,108.1,548.9,821.6,66.8
 26.Vidarbha,1045.4,1033.1,796.3,1257.7,1276.5,1135.8,855.7,804.2,1355.2,1103.3,122.8,958.5,1084.5,88.4,1090.2,1084.5,100.5,1520.2,1084.5,140.2,919,1084.5,84.7
 27.Chattisgarh,*,1702.7,1174.3,1305.1,1231.5,1244.1,1144,859.7,1147.8,1363.3,84.2,1313,1290.7,101.7,1366.8,1290.7,105.9,1418.4,1290.7,109.9,1274.8,1290.7,98.8
 28.Coastal Andhra Pradesh,757.3,1118.6,933.7,1238.9,1067.1,1093.9,1057.1,745,1624.9,1011.3,160.7,835.5,1024.4,81.6,1183.4,1024.2,115.5,1081.8,1024.2,105.6,777.5,1024.2,75.9
 29.Telangana,767.7,1006.7,761.7,1230.8,1044.6,902.6,998,665.8,1248.9,941.7,132.6,739.6,942.6,78.5,972.7,942.6,103.2,1272,942.6,134.9,685.5,942.6,72.7
 30.Rayalseema,504.4,654,655.9,999.2,608.9,934.1,795.1,672.8,907.1,678,133.8,642.8,706.1,91,665.1,706.1,94.2,677.2,706.1,95.9,523.3,706.1,74.1
 31.Tamil Nadu ,723.4,925,1104.6,1314,911.9,968.8,1195.7,934.4,1122.2,908.8,123.5,1013.8,914.4,110.9,708,914.4,77.4,742,914.4,81.1,913,914.4,99.8
 32.Coastal Karnataka,2920.4,3086.5,3061.6,3274.8,3865.9,3904.7,3050.8,3798.2,4007.5,3613.2,110.9,4146.4,3526.3,117.6,3395,3526.3,96.3,4044.7,3526.3,114.7,3563.9,3526.3,101.1
 33.North Interior Karnataka,556.3,473.6,644.5,856.1,628,788.5,700.5,977.1,857.3,720.4,119,620.2,740.3,83.8,529.4,740.3,71.5,723.4,740.3,97.7,756.7,740.3,102.2
 34.South Interior Karnataka,869.1,817.9,1028.3,1357,951,1229.5,1105.7,1177.2,1308.7,1029.5,127.1,1040.5,1019.2,102.1,832,1019.2,81.6,1110.6,1019.2,109,1184.1,1019.2,116.2
 35.Kerala,2457.3,2275.8,2911.3,3151,3297.7,3919.5,2534.2,2815.9,3142,3094.9,101.5,3041.6,2924.3,104,2187.6,2923.4,74.8,3255.5,2923.4,111.4,3046.6,2924.3,104.2
 36.Lakshadweep ,1034.4,1533.2,2096.8,1579,1695.4,2037.9,1726.4,1572.5,1725.4,1584.7,108.9,1531.4,1600,95.7,1433.2,1600,89.6,1426.3,1600,89.1,1395,1600,87.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,`,,,,,,,,,,,,,,,,,
